H2C time (us),H2C request,H2C counter,H2C motionstatecommand,H2C surge P,H2C surge V,H2C surge A,H2C sway P,H2C sway V,H2C sway A,H2C heave P,H2C heave V,H2C heave A,H2C roll P,H2C roll V,H2C roll A,H2C pitch P,H2C pitch V,H2C pitch A ,H2C yaw P,H2C yaw V,H2C yaw A,C2H time (us),C2H c request,C2H counter,C2H motionstatecommand,C2H surge P,C2H sway P,C2H heave P,C2H roll P,C2H pitch P,C2H yaw P,C2H surge V,C2H sway V,C2H heave V,C2H roll V,C2H pitch V,C2H yaw V,C2H surge A,C2H  sway A,C2H heave A,C2H roll A,C2H pitch A,C2H yaw A
819894424,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819894439,1000,4073,10,-0.409626007,-1.32E-15,-3.274046659,2.85E-16,-5.42E-16,5.21E-16,-2.02E-15,1.87E-15,1.11E-05,6.71E-16,1.74E-16,3.24E-16,-3.52E-14,6.09E-14,2.60E-07,1.03E-14,1.40E-14,-7.01E-17
819904427,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819904441,1000,4074,10,-0.409626007,-1.49E-15,-3.274046421,2.03E-16,-5.65E-16,6.25E-16,-2.24E-15,2.01E-15,1.11E-05,6.87E-16,2.03E-16,3.70E-16,-2.92E-14,3.79E-14,2.32E-07,5.54E-15,8.84E-15,2.47E-15
819914432,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819914448,1000,4075,10,-0.409626007,-1.26E-15,-3.274046421,2.85E-16,-5.42E-16,3.65E-16,-2.34E-15,1.89E-15,1.11E-05,6.68E-16,1.64E-16,4.31E-16,-1.83E-14,5.67E-15,2.02E-07,5.90E-16,7.41E-16,5.12E-15
819924424,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819924438,1000,4076,10,-0.409626007,-1.59E-15,-3.274046183,2.63E-16,-6.25E-16,5.73E-16,-2.26E-15,1.60E-15,1.11E-05,6.47E-16,7.74E-17,4.59E-16,-1.47E-15,-1.72E-14,1.71E-07,-1.37E-15,-5.47E-15,3.95E-15
819934432,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819934447,1000,4077,10,-0.409626007,-1.12E-15,-3.274046183,4.49E-16,-7.07E-16,6.25E-16,-2.14E-15,1.34E-15,1.11E-05,6.36E-16,-1.70E-18,4.69E-16,9.01E-15,-2.36E-14,1.44E-07,-1.25E-15,-7.28E-15,1.63E-15
819944431,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819944445,1000,4078,10,-0.409626007,-9.56E-16,-3.274045944,3.88E-16,-7.66E-16,5.21E-16,-2.09E-15,9.61E-16,1.11E-05,5.47E-16,-8.49E-17,5.30E-16,7.22E-15,-3.27E-14,1.20E-07,-5.07E-15,-8.41E-15,4.04E-15
819954427,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819954442,1000,4079,10,-0.409626007,-9.56E-16,-3.274045944,3.88E-16,-6.47E-16,5.21E-16,-2.01E-15,3.64E-16,1.11E-05,3.16E-16,-1.60E-16,6.18E-16,7.23E-15,-4.97E-14,9.47E-08,-1.56E-14,-8.32E-15,7.34E-15
819964425,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819964441,1000,4080,10,-0.409626007,-1.32E-15,-3.274045706,4.27E-16,-6.69E-16,5.21E-16,-1.88E-15,-2.28E-16,1.11E-05,6.25E-18,-1.84E-16,6.89E-16,1.09E-14,-5.73E-14,7.03E-08,-2.58E-14,-4.87E-15,7.51E-15
819974439,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819974454,1000,4081,10,-0.409626007,-1.12E-15,-3.274045706,4.49E-16,-7.07E-16,6.25E-16,-1.72E-15,-8.23E-16,1.11E-05,-3.51E-16,-1.79E-16,7.50E-16,1.40E-14,-5.88E-14,4.68E-08,-3.23E-14,-1.42E-15,6.66E-15
819984429,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819984444,1000,4082,10,-0.409626007,-1.22E-15,-3.274045467,5.09E-16,-8.11E-16,5.73E-16,-1.51E-15,-1.41E-15,1.11E-05,-7.23E-16,-1.60E-16,7.92E-16,1.81E-14,-5.90E-14,2.42E-08,-3.59E-14,7.83E-16,5.27E-15
819994427,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819994443,1000,4083,10,-0.409626007,-1.32E-15,-3.274045467,4.27E-16,-6.25E-16,5.21E-16,-1.26E-15,-1.97E-15,1.11E-05,-1.09E-15,-1.34E-16,8.13E-16,2.27E-14,-5.72E-14,2.48E-09,-3.64E-14,2.03E-15,3.32E-15
820004420,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820004435,1000,4084,10,-0.409626007,-1.48E-15,-3.274045467,4.87E-16,-7.29E-16,6.25E-16,-9.29E-16,-2.51E-15,1.11E-05,-1.45E-15,-9.94E-17,8.07E-16,2.85E-14,-5.56E-14,-1.84E-08,-3.64E-14,2.93E-15,9.88E-16
820014442,1001,0,4,-1.858838081,1.758515477,-2.297898054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820014457,1000,4085,10,-0.409626007,-1.32E-15,-3.274045229,4.27E-16,-6.69E-16,5.21E-16,-4.88E-16,-3.02E-15,1.11E-05,-1.80E-15,-5.23E-17,7.54E-16,3.76E-14,-5.30E-14,-3.86E-08,-3.59E-14,3.99E-15,-2.63E-15
820024447,1001,0,4,-1.841384768,1.745337844,-1.317757487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820024463,1000,4086,10,-0.409626007,-1.22E-15,-3.274045229,3.67E-16,-5.65E-16,5.73E-16,1.59E-16,-3.27E-15,1.11E-05,-2.01E-15,1.71E-17,5.80E-16,5.32E-14,-3.84E-14,-5.79E-08,-2.85E-14,5.69E-15,-1.08E-14
820034452,1001,0,4,-1.823968649,1.741606355,-0.373148918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820034470,1000,4087,10,-0.409628361,-1.22E-13,-3.274047375,3.30E-14,-1.53E-07,7.90E-15,-0.001124484,-6.06E-11,-0.001077412,1.55E-11,-7.53E-05,3.37E-12,-0.037258741,-1.93E-09,-0.037183888,5.17E-10,-0.002431814,1.16E-10
820044437,1001,0,4,-1.806512833,1.745578408,0.397207737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820044452,1000,4088,10,-0.409709901,-5.68E-12,-3.274110317,1.09E-12,-6.59E-06,1.83E-13,-0.017437819,-1.27E-09,-0.012494409,2.24E-10,-0.001446562,3.31E-11,-0.853044927,-6.08E-08,-0.625668347,1.10E-08,-0.069573648,1.68E-09
820054454,1001,0,4,-1.788968086,1.754476309,0.889787793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820054468,1000,4089,10,-0.410095274,-3.72E-11,-3.274350405,5.93E-12,-4.15E-05,7.48E-13,-0.060064901,-5.16E-09,-0.034771342,7.46E-10,-0.005655705,7.58E-11,-2.839972496,-2.47E-07,-1.608628869,3.51E-08,-0.269759625,3.42E-09
820064439,1001,0,4,-1.771318316,1.764977336,1.050106049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820064454,1000,4090,10,-0.411065489,-1.26E-10,-3.274857759,1.78E-11,-0.000137436,1.72E-12,-0.131731734,-1.24E-08,-0.064835869,1.60E-09,-0.013363856,1.12E-10,-5.469861984,-5.35E-07,-2.496030569,6.60E-08,-0.570400596,3.77E-09
820074444,1001,0,4,-1.75358057,1.773778915,0.880155206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820074458,1000,4091,10,-0.412911952,-3.05E-10,-3.275696039,4.00E-11,-0.000329021,2.91E-12,-0.231777504,-2.29E-08,-0.099641033,2.75E-09,-0.024295351,1.21E-10,-8.296694756,-8.53E-07,-3.142672539,9.67E-08,-0.897738039,2.15E-09
820084441,1001,0,4,-1.735798955,1.778162122,0.438324749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820084458,1000,4092,10,-0.415873468,-6.01E-10,-3.276886702,7.46E-11,-0.000641504,4.11E-12,-0.350630373,-3.51E-08,-0.134904027,4.07E-09,-0.037109792,1.18E-10,-10.64538479,-1.10E-06,-3.406034946,1.20E-07,-1.149876475,4.02E-10
820094431,1001,0,4,-1.718034148,1.776478529,-0.168361381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820094446,1000,4093,10,-0.42007187,-1.02E-09,-3.278427601,1.23E-10,-0.001086737,5.27E-12,-0.477086037,-4.81E-08,-0.16961737,5.45E-09,-0.050640255,1.14E-10,-12.01960373,-1.24E-06,-3.43293786,1.32E-07,-1.288333535,-3.79E-10
820104432,1001,0,4,-1.700349212,1.768490076,-0.798844576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820104446,1000,4094,10,-0.425550371,-1.58E-09,-3.280311823,1.85E-10,-0.001668602,6.38E-12,-0.605909705,-6.13E-08,-0.203627646,6.86E-09,-0.064364634,1.07E-10,-12.63414288,-1.30E-06,-3.376092434,1.38E-07,-1.346082568,-7.53E-10
820114440,1001,0,4,-1.682794094,1.755513072,-1.297705293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820114455,1000,4095,10,-0.432320118,-2.26E-09,-3.282531738,2.61E-10,-0.002387785,7.40E-12,-0.735079706,-7.45E-08,-0.236687586,8.26E-09,-0.078079499,9.81E-11,-12.84740639,-1.32E-06,-3.283935308,1.39E-07,-1.36264503,-1.08E-09
820124432,1001,0,4,-1.66539073,1.740338802,-1.517427087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820124445,1000,4096,10,-0.440377444,-3.08E-09,-3.285074711,3.52E-10,-0.003243454,8.32E-12,-0.863280952,-8.77E-08,-0.268247813,9.65E-09,-0.091647938,8.53E-11,-12.85322285,-1.32E-06,-3.150209904,1.39E-07,-1.358035207,-1.45E-09
820134430,1001,0,4,-1.648121357,1.726935267,-1.340354204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820134444,1000,4097,10,-0.449702591,-4.03E-09,-3.287920713,4.56E-10,-0.004233089,9.09E-12,-0.988489509,-1.01E-07,-0.297253013,1.10E-08,-0.104858235,6.77E-11,-12.67517853,-1.30E-06,-2.940207958,1.36E-07,-1.334527254,-1.92E-09
820144435,1001,0,4,-1.630921721,1.719961286,-0.697397649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820144451,1000,4098,10,-0.46024698,-5.10E-09,-3.291035414,5.73E-10,-0.005351165,9.64E-12,-1.107022047,-1.13E-07,-0.322020233,1.23E-08,-0.117326446,4.36E-11,-12.21252823,-1.25E-06,-2.601386309,1.30E-07,-1.281723976,-2.50E-09
820154425,1001,0,4,-1.613680243,1.724152446,0.41911912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820154439,1000,4099,10,-0.471914619,-6.29E-09,-3.294365406,7.01E-10,-0.00658721,9.92E-12,-1.213338494,-1.24E-07,-0.340598345,1.34E-08,-0.128473684,1.11E-11,-11.30013371,-1.16E-06,-2.092846394,1.19E-07,-1.182503581,-3.23E-09
820164430,1001,0,4,-1.59624362,1.743656397,1.950393081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820164445,1000,4100,10,-0.484549791,-7.58E-09,-3.297841549,8.40E-10,-0.00792448,9.82E-12,-1.301453352,-1.33E-07,-0.351815164,1.43E-08,-0.137670889,-3.06E-11,-9.827315331,-1.02E-06,-1.44100666,1.02E-07,-1.025083184,-4.06E-09
820174429,1001,0,4,-1.57842958,1.781404495,3.774815321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820174443,1000,4101,10,-0.497947276,-8.95E-09,-3.301391363,9.87E-10,-0.009341025,9.26E-12,-1.367709637,-1.40E-07,-0.3561894,1.49E-08,-0.144531593,-7.86E-11,-7.882065296,-8.19E-07,-0.762365401,7.97E-08,-0.818227053,-4.75E-09
820184427,1001,0,4,-1.560043573,1.838606834,5.720229149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820184442,1000,4102,10,-0.511888087,-1.04E-08,-3.304955959,1.14E-09,-0.010813433,8.22E-12,-1.412679076,-1.44E-07,-0.355593026,1.54E-08,-0.149117887,-1.27E-10,-5.771733284,-6.02E-07,-0.195471078,5.64E-08,-0.593984604,-5.01E-09
820194424,1001,0,4,-1.540899158,1.914441705,7.583492756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820194438,1000,4103,10,-0.526179731,-1.18E-08,-3.308496475,1.29E-09,-0.012320737,4.85E-12,-1.440449834,-1.43E-07,-0.351780593,1.59E-08,-0.151671916,-1.02E-09,-3.860279083,-2.55E-07,0.200432166,4.57E-08,-0.384316146,-3.46E-08
820204451,1001,0,4,-1.520839214,2.005992413,9.15506649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820204468,1000,4104,10,-0.540679753,-1.31E-08,-3.311970711,1.47E-09,-0.01383375,-4.20E-11,-1.45641613,-1.06E-07,-0.342011362,1.85E-08,-0.15005292,-8.83E-09,-2.385207176,1.95E-06,0.654971242,1.57E-07,-0.075698197,-4.42E-07
820214436,1001,0,4,-1.499754667,2.108448505,10.24561787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820214453,1000,4105,10,-0.555297494,-1.38E-08,-3.315287828,1.67E-09,-0.015290155,-2.00E-10,-1.465373635,-4.06E-08,-0.320751637,2.22E-08,-0.140660927,-2.19E-08,-1.398942709,4.88E-06,1.509197116,2.85E-07,0.513007224,-1.00E-06
820224432,1001,0,4,-1.477599144,2.21556139,10.71127796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820224446,1000,4106,10,-0.5699808,-1.39E-08,-3.318317652,1.91E-09,-0.016603479,-4.85E-10,-1.469866157,1.19E-08,-0.286095142,2.43E-08,-0.122695833,-3.30E-08,-0.790237486,5.62E-06,2.701645374,2.52E-07,1.308145523,-1.15E-06
820234437,1001,0,4,-1.454396129,2.320303917,10.47424793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820234452,1000,4107,10,-0.584653735,-1.36E-08,-3.320941687,2.16E-09,-0.017717844,-8.54E-10,-1.462555528,3.04E-08,-0.241176233,2.60E-08,-0.102419801,-3.98E-08,0.061622959,3.47E-06,3.830121994,1.86E-07,1.82810843,-8.83E-07
820244429,1001,0,4,-1.430239439,2.415663242,9.535926819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820244443,1000,4108,10,-0.599144518,-1.33E-08,-3.323071718,2.43E-09,-0.018646188,-1.28E-09,-1.434821844,3.37E-08,-0.188451961,2.84E-08,-0.085685261,-4.50E-08,1.661114097,1.38E-06,4.731816769,2.09E-07,1.799720645,-6.43E-07
820254435,1001,0,4,-1.405284762,2.49546957,7.980639935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820254452,1000,4109,10,-0.61324656,-1.30E-08,-3.324642181,2.73E-09,-0.019433497,-1.75E-09,-1.387654543,3.48E-08,-0.130292758,3.03E-08,-0.073613375,-4.87E-08,3.580826283,4.38E-07,5.400922775,2.07E-07,1.451160312,-4.66E-07
820264434,1001,0,4,-1.379733086,2.555160999,5.969139099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820264449,1000,4110,10,-0.62680614,-1.26E-08,-3.325614691,3.04E-09,-0.020118048,-2.25E-09,-1.328913212,3.75E-08,-0.069579847,3.13E-08,-0.064486079,-5.10E-08,5.110099792,2.62E-07,5.809969425,1.48E-07,1.100251436,-3.15E-07
